year,month,state,district,fps_id,fps_name,summary_total_etransaction,summary_aadhaar_authenticated,summary_other_mode_authenticated,summary_non_authenticated,txn_phh_regular,txn_phh_intra_state,txn_phh_inter_state,txn_phh_total,txn_aay_regular,txn_aay_intra_state,txn_aay_inter_state,txn_aay_total,rc_phh_regular,rc_phh_intra_state,rc_phh_inter_state,rc_phh_total,rc_aay_regular,rc_aay_intra_state,rc_aay_inter_state,rc_aay_total,dty_wheat_regular,dty_wheat_intra_state,dty_wheat_inter_state,dty_wheat_total,dty_fortified_rice_regular,dty_fortified_rice_intra_state,dty_fortified_rice_inter_state,dty_fortified_rice_total,dty_rice_regular,dty_rice_intra_state,dty_rice_inter_state,dty_rice_total,dty_coarse_grains_regular,dty_coarse_grains_intra_state,dty_coarse_grains_inter_state,dty_coarse_grains_total,dty_barley_regular,dty_barley_intra_state,dty_barley_inter_state,dty_barley_total,dty_bajra_regular,dty_bajra_intra_state,dty_bajra_inter_state,dty_bajra_total,dty_maize_regular,dty_maize_intra_state,dty_maize_inter_state,dty_maize_total,dty_jowar_regular,dty_jowar_intra_state,dty_jowar_inter_state,dty_jowar_total,dty_ragi_regular,dty_ragi_intra_state,dty_ragi_inter_state,dty_ragi_total,dty_kodo_regular,dty_kodo_intra_state,dty_kodo_inter_state,dty_kodo_total,dty_total_regular,dty_total_intra_state,dty_total_inter_state,dty_total_total
2026,April,GOA,SOUTH GOA,158600300020,RAMESH S MANDREKAR-28 FPS,16,16,0,0,16,0,0,16,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0.0,0.31,0,0,0.31,310,0,0,310.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,310,0,0,310.0
2026,April,GOA,SOUTH GOA,158600300021,MADHUKAR NAIK-24 FPS,234,234,0,0,207,8,19,234,0,0,0,0,207,8,19,234,0,0,0,0,0,0,0,0.0,4.567,0.11,0.41,5.087,4567,110,410,5087.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4567,110,410,5087.0
2026,April,GOA,SOUTH GOA,158600300022,KISHOR C N PEDNEKAR-23 FPS,241,241,0,0,145,9,75,229,0,0,12,12,144,9,75,228,0,0,12,12,0,0,0,0.0,3.12,0.135,1.765,5.02,3120,135,1765,5020.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3120,135,1765,5020.0
2026,April,GOA,SOUTH GOA,158600300023,MRS SAKSHI S MANJREKAR-20 FPS,45,45,0,0,32,1,9,42,0,0,3,3,32,1,9,42,0,0,3,3,0,0,0,0.0,0.53,0.005,0.29,0.825,530,5,290,825.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,530,5,290,825.0
2026,April,GOA,SOUTH GOA,158600300025,THE MORMUGAO WATERFRONT WORKERS CONSUMERS CO OP STY LTD-8 FPS,167,167,0,0,135,5,21,161,1,1,4,6,135,5,21,161,1,1,4,6,0,0,0,0.0,2.46,0.15,0.535,3.145,2460,150,535,3145.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2460,150,535,3145.0
2026,April,GOA,SOUTH GOA,158600300026,P.D.MELLO A G L CONS CO OP SOCIETY LTD-4 FPS,101,101,0,0,94,7,0,101,0,0,0,0,94,7,0,101,0,0,0,0,0,0,0,0.0,2.06,0.145,0,2.205,2060,145,0,2205.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2060,145,0,2205.0
2026,April,GOA,SOUTH GOA,158600300027,THE MORMUGAO WATERFRONT CONSUMERS CO OP STY LTD-3 FPS,65,65,0,0,64,1,0,65,0,0,0,0,64,1,0,65,0,0,0,0,0,0,0,0.0,1.455,0.025,0,1.48,1455,25,0,1480.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1455,25,0,1480.0
2026,April,GOA,SOUTH GOA,158600300028,THE MORMUGAO WATERFRONT WORKERS CONS CO OP STY LTD-2 FPS,129,129,0,0,116,5,0,121,8,0,0,8,116,5,0,121,8,0,0,8,0,0,0,0.0,2.095,0.075,0,2.17,2095,75,0,2170.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2095,75,0,2170.0
2026,April,GOA,SOUTH GOA,158600300148,MES EMPL.C.C.STY-5 FPS,32,32,0,0,32,0,0,32,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0.0,0.635,0,0,0.635,635,0,0,635.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,635,0,0,635.0
2026,April,GOA,SOUTH GOA,158600300149,GOA SHIPYARD EMP C STY-6 FPS,77,77,0,0,75,2,0,77,0,0,0,0,75,2,0,77,0,0,0,0,0,0,0,0.0,1.2,0.035,0,1.235,1200,35,0,1235.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1200,35,0,1235.0
2026,April,GOA,SOUTH GOA,158600300150,CHOWGULE STAFF C C STY-10 FPS,92,92,0,0,64,11,14,89,0,0,3,3,64,11,14,89,0,0,3,3,0,0,0,0.0,0.99,0.15,0.34,1.48,990,150,340,1480.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,990,150,340,1480.0
